id_unique,pop_size_territories,both_disapp,population_analysis,territory_analysis,individual_analysis,fate,fate_detailed,wolf_id,sex,country,territory,territory_winter,Y_coordinate,X_coordinate,autumn,spring,slu_id,ruggedness,paved,gravel,snow_cover,human_density,municipality_name,municipality_id,moose_harvest_density,bear_density_shot,bear_density_live,night_light,elevation_mean,elevation_stdv,birth_territory,inbreeding,number_neighbour_terr
52,66,,,,,alive,,G43-14,F,S,Åmot,Åmot_1314,6757275,1542221,2013,2014,G43-14,2.5887,0.18,1.38,68.99047619,7.21,Falun,2080,3,0.0016,0.5748,1.0859,181.6833364,76.36852062,Kors3,0.135986,3
53,68,,,,,alive,,G141-12,M,S,Åmot,Åmot_1415,6749910,1538758,2014,2015,G141-12,2.5731,0.21,1.37,84.35820896,12.17,Falun,2080,3.0082,0.0019,0.689,1.2549,195.6466538,73.46710363,Sle,0.30688500000000002,3
54,68,,,,,alive,,G43-14,F,S,Åmot,Åmot_1415,6749910,1538758,2014,2015,G43-14,2.5731,0.21,1.37,84.35820896,12.17,Falun,2080,3.0082,0.0019,0.689,1.2549,195.6466538,73.46710363,Kors3,0.135986,3
55,70,,,,,other,legal,G141-12,M,S,Åmot,Åmot_1516,6749339,1538839,2015,2016,G141-12,2.5508,0.21,1.37,74.11384615,12.74,Falun,2080,3.0168,0.0023,0.8292,1.2675,194.170623,73.61209573,Sle,0.30688500000000002,3
56,70,,,,,other,legal,G43-14,F,S,Åmot,Åmot_1516,6749339,1538839,2015,2016,G43-14,2.5508,0.21,1.37,74.11384615,12.74,Falun,2080,3.0168,0.0023,0.8292,1.2675,194.170623,73.61209573,Kors3,0.135986,3
57,22,,,0,0,alive,,M-05-02,M,S,Amungen 1,Amungen_0304,6779317,1490833,2003,2004,M-05-02,3.2676,0.12,1.04,85.47714286,7.34,Rättvik,2031,3.548,0.0013,0.4817,0,297.6750922,63.14473669,Fil,0.28125,1
58,22,,,,,alive,,M-05-12,F,S,Amungen 1,Amungen_0304,6779317,1490833,2003,2004,M-05-12,3.2676,0.12,1.04,85.47714286,7.34,Rättvik,2031,3.548,0.0013,0.4817,0,297.6750922,63.14473669,Ock1,0.1875,1
59,28,,,0,0,alive,,M-05-02,M,S,Amungen 1,Amungen_0405,6775700,1494349,2004,2005,M-05-02,3.3876,0.12,1.01,81.13480392,9.23,Rättvik,2031,3.2534,0.0013,0.4538,0,302.5635091,65.6737438,Fil,0.28125,2
60,28,,,,,alive,,M-05-12,F,S,Amungen 1,Amungen_0405,6775700,1494349,2004,2005,M-05-12,3.3876,0.12,1.01,81.13480392,9.23,Rättvik,2031,3.2534,0.0013,0.4538,0,302.5635091,65.6737438,Ock1,0.1875,2
61,29,,,0,0,alive,,M-05-02,M,S,Amungen 1,Amungen_0506,6776136,1493061,2005,2006,M-05-02,3.3735,0.12,1.01,85.56313131,8.67,Rättvik,2031,2.946,0.0014,0.5178,0,300.1450134,65.20546711,Fil,0.28125,2
62,29,,,,,alive,,M-05-12,F,S,Amungen 1,Amungen_0506,6776136,1493061,2005,2006,M-05-12,3.3735,0.12,1.01,85.56313131,8.67,Rättvik,2031,2.946,0.0014,0.5178,0,300.1450134,65.20546711,Ock1,0.1875,2
63,31,,1,1,1,disapp,,M-05-02,M,S,Amungen 1,Amungen_0607,6774606,1498387,2006,2007,M-05-02,3.3767,0.12,1.01,82.9469697,10.93,Rättvik,2031,2.701,0.0011,0.3987,0,313.2659028,66.27847338,Fil,0.28125,1
64,31,,,,,alive,,M-05-12,F,S,Amungen 1,Amungen_0607,6774606,1498387,2006,2007,M-05-12,3.3767,0.12,1.01,82.9469697,10.93,Rättvik,2031,2.701,0.0011,0.3987,0,313.2659028,66.27847338,Ock1,0.1875,1
65,37,,,,,alive,,D-10-30,M,S,Amungen 2,Amungen_0708,6775987,1506325,2007,2008,D-10-30,3.5051,0.16,1.08,83.96717172,12.51,Rättvik,2031,2.4546,0.0017,0.6004,0,322.3995578,60.88901195,Ny5,0.26953100000000002,1
66,37,,,,,alive,,M-05-12,F,S,Amungen 2,Amungen_0708,6775987,1506325,2007,2008,M-05-12,3.5051,0.16,1.08,83.96717172,12.51,Rättvik,2031,2.4546,0.0017,0.6004,0,322.3995578,60.88901195,Ock1,0.1875,1
67,39,,,,,alive,,D-10-30,M,S,Amungen 2,Amungen_0809,6780001,1500672,2008,2009,D-10-30,3.4216,0.11,1.07,87.7622549,9.19,Rättvik,2031,2.4677,0.0027,0.9632,0.056,312.6749496,66.27801813,Ny5,0.26953100000000002,1
68,39,,,,,alive,,M-05-12,F,S,Amungen 2,Amungen_0809,6780001,1500672,2008,2009,M-05-12,3.4216,0.11,1.07,87.7622549,9.19,Rättvik,2031,2.4677,0.0027,0.9632,0.056,312.6749496,66.27801813,Ock1,0.1875,1
69,49,,,,,other,legal,D-10-30,M,S,Amungen 2,Amungen_0910,6779275,1507113,2009,2010,D-10-30,3.5266,0.15,1.1,86.25714286,10.99,Rättvik,2031,2.6316,0.0027,0.9881,0.0744,317.8515615,62.11682135,Ny5,0.26953100000000002,1
70,49,,,,,other,legal,M-05-12,F,S,Amungen 2,Amungen_0910,6779275,1507113,2009,2010,M-05-12,3.5266,0.15,1.1,86.25714286,10.99,Rättvik,2031,2.6316,0.0027,0.9881,0.0744,317.8515615,62.11682135,Ock1,0.1875,1
71,72,,,,,alive,,G176-16,M,S,Andån,Andån_1718,6837842,1500423,2017,2018,G176-16,4.1675,0.25,1.18,84.13432836,4.3,Ovanåker,2121,2.9,0.0021,0.7529,0.6362,299.8522749,80.79352081,Bjås3,6.7336999999999994E-2,2
72,72,,,,,alive,,G87-17,F,S,Andån,Andån_1718,6837842,1500423,2017,2018,G87-17,4.1675,0.25,1.18,84.13432836,4.3,Ovanåker,2121,2.9,0.0021,0.7529,0.6362,299.8522749,80.79352081,Vmy1,0.23388300000000001,2
73,68,,,,,alive,,G176-16,M,S,Andån,Andån_1819,6838452,1500584,2018,2019,G176-16,4.1742,0.26,1.18,84.1969697,4.24,Ovanåker,2121,3,0.0032,1.1581,0.6811,298.2554315,81.69374541,Bjås3,6.7336999999999994E-2,2
74,68,,,,,alive,,G87-17,F,S,Andån,Andån_1819,6838452,1500584,2018,2019,G87-17,4.1742,0.26,1.18,84.1969697,4.24,Ovanåker,2121,3,0.0032,1.1581,0.6811,298.2554315,81.69374541,Vmy1,0.23388300000000001,2
75,71,,,,,alive,,G176-16,M,S,Andån,Andån_1920,6830587,1499137,2019,2020,G176-16,4.0708,0.2,1.17,77.06127451,5.07,Ovanåker,2121,2.6,0.0035,1.2776,0.1198,308.4403492,71.58342788,Bjås3,6.7336999999999994E-2,2
76,71,,,,,alive,,G87-17,F,S,Andån,Andån_1920,6830587,1499137,2019,2020,G87-17,4.0708,0.2,1.17,77.06127451,5.07,Ovanåker,2121,2.6,0.0035,1.2776,0.1198,308.4403492,71.58342788,Vmy1,0.23388300000000001,2
77,75,,,,,other,legal,G176-16,M,S,Andån,Andån_2021,6830587,1499137,2020,2021,,4.0708,0.2,1.17,84.50735294,5.07,Ovanåker,2121,2.4,0.0034,1.2298,0.1198,308.4403492,71.58342788,Bjås3,6.7336999999999994E-2,2
78,75,,,,,other,legal,G87-17,F,S,Andån,Andån_2021,6830587,1499137,2020,2021,,4.0708,0.2,1.17,84.50735294,5.07,Ovanåker,2121,2.4,0.0034,1.2298,0.1198,308.4403492,71.58342788,Vmy1,0.23388300000000001,2
79,72,1,,,1,disapp,,G112-17,M,S,Ängsberget,Ängsberget_1718,6776809,1471419,2017,2018,G112-17,2.6797,0.18,1.08,80.55050505,5.48,Rättvik,2031,2.4,0.0026,0.9242,0.3015,297.1091108,61.69140679,Prä3,0.125,3
80,72,1,1,1,1,disapp,,G66-14,F,S,Ängsberget,Ängsberget_1718,6776809,1471419,2017,2018,G66-14,2.6797,0.18,1.08,80.55050505,5.48,Rättvik,2031,2.4,0.0026,0.9242,0.3015,297.1091108,61.69140679,Hom2,0.14105200000000001,3
81,37,,1,1,1,disapp,,D-07-27,M,S,Äppelbo 0,Äppelbo_0708,6705273,1396086,2007,2008,D-07-27,3.8935,0.27,0.95,80.11868687,3.76,Hagfors,1783,2.638,0.0002,0.0772,0.3496,345.5111795,62.84590417,Julu3,0.32421899999999998,3
82,37,,,,0,alive,,G32-07,F,S,Äppelbo 0,Äppelbo_0708,6705273,1396086,2007,2008,G32-07,3.8935,0.27,0.95,80.11868687,3.76,Hagfors,1783,2.638,0.0002,0.0772,0.3496,345.5111795,62.84590417,Sil1,0.227051,3
83,39,,,0,0,alive,,G32-07,F,S,Äppelbo 1,Äppelbo_0809,6707709,1388339,2008,2009,G32-07,4.0177,0.24,0.86,84.84507042,3.5,Torsby,1737,2.4968,0.0003,0.1191,0.3048,369.7084469,65.53898774,Sil1,0.227051,2
84,39,,,,0,alive,,G39-07,M,S,Äppelbo 1,Äppelbo_0809,6707709,1388339,2008,2009,G39-07,4.0177,0.24,0.86,84.84507042,3.5,Torsby,1737,2.4968,0.0003,0.1191,0.3048,369.7084469,65.53898774,Hlg1,0.23877000000000001,2
85,49,,,0,0,alive,,G32-07,F,S,Äppelbo 1,Äppelbo_0910,6712442,1389424,2009,2010,G32-07,3.9519,0.25,0.91,79.65422886,3.15,Torsby,1737,2.3442,0.0003,0.1085,0.5945,369.7456973,67.10045673,Sil1,0.227051,2
86,49,,,,0,alive,,G39-07,M,S,Äppelbo 1,Äppelbo_0910,6712442,1389424,2009,2010,G39-07,3.9519,0.25,0.91,79.65422886,3.15,Torsby,1737,2.3442,0.0003,0.1085,0.5945,369.7456973,67.10045673,Hlg1,0.23877000000000001,2
87,58,,,0,0,alive,,G32-07,F,S,Äppelbo 1,Äppelbo_1011,6713382,1380169,2010,2011,G32-07,4.0565,0.22,0.8,79.59068627,2.92,Torsby,1737,2.6376,0.0003,0.1155,0.7571,391.9313434,65.20361522,Sil1,0.227051,1
88,58,,,,0,alive,,G39-07,M,S,Äppelbo 1,Äppelbo_1011,6713382,1380169,2010,2011,G39-07,4.0565,0.22,0.8,79.59068627,2.92,Torsby,1737,2.6376,0.0003,0.1155,0.7571,391.9313434,65.20361522,Hlg1,0.23877000000000001,1
89,60,1,1,1,1,disapp,,G32-07,F,S,Äppelbo 1,Äppelbo_1112,6708251,1394407,2011,2012,G32-07,3.8756,0.26,0.93,79.02696078,3.5,Hagfors,1783,2.3435,0.0003,0.1255,0.2927,351.1944714,63.60465235,Sil1,0.227051,3
90,60,1,,,1,disapp,,G39-07,M,S,Äppelbo 1,Äppelbo_1112,6708251,1394407,2011,2012,G39-07,3.8756,0.26,0.93,79.02696078,3.5,Hagfors,1783,2.3435,0.0003,0.1255,0.2927,351.1944714,63.60465235,Hlg1,0.23877000000000001,3
91,10,,,0,0,alive,,M-00-01,M,S,Årjangkongsvinger,Årjäng-Kongsvinger_9899,6632272,1273927,1998,1999,M-00-01,5.5948,0.38,1.36,82.56490385,9.62,Eda,1730,3.7972,0,0,0.1487,229.2771035,53.72892659,Hag1,0.125,0
92,10,,,,0,alive,,M-00-02,F,S,Årjangkongsvinger,Årjäng-Kongsvinger_9899,6632272,1273927,1998,1999,M-00-02,5.5948,0.38,1.36,82.56490385,9.62,Eda,1730,3.7972,0,0,0.1487,229.2771035,53.72892659,Fre,0.125,0
93,13,,,0,0,alive,,M-00-01,M,S,Årjangkongsvinger,Årjäng-Kongsvinger_9900,6646256,1276503,1999,2000,M-00-01,5.5337,0.47,1.61,82.01870278,11.21,Eda,1730,3.4556,0,0,0.4653,244.0290654,56.66087136,Hag1,0.125,0
