kommun;kommun original;age;metric;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Båtsfjord;2028 Båtsfjord (1955-2019);All ages;Average Gross income;210500;221800;231000;237000;237600;244300;249100;254100;272300;292000;306000;311900;330500;340300;343500;361400;376700;395600;413100;419800;425100;0;0;0;0
Beiarn;1839 Beiarn;All ages;Average Gross income;146700;155500;164900;178500;177400;185700;196000;206800;228800;254700;266300;278300;289400;301600;340600;326300;334200;338700;350200;364900;377300;388300;404900;411000;432100
Berg;0116 Berg  (-1966);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berg;1929 Berg (-2019);All ages;Average Gross income;190900;200900;210100;225000;216800;227800;246400;248600;276900;287700;293200;315200;324700;335500;347400;354800;370600;379900;395700;427900;453700;0;0;0;0
Bergen;4601 Bergen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505400;555600;558500;596600
Bergen;1201 Bergen (1972-2019);All ages;Average Gross income;228700;245100;252100;271100;286900;295900;330000;307700;334900;360500;363200;375300;393600;410900;427800;442200;462600;452900;463400;477100;491700;0;0;0;0
Bergen;1301 Bergen (-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berlevåg;5630 Berlevåg;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berlevåg;5440 Berlevåg (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449500;488600;500800;535400
Berlevåg;2024 Berlevåg (1914-2019);All ages;Average Gross income;188700;196000;211300;222600;220700;222800;235200;242700;259700;286600;290300;300700;323500;335000;339600;343100;367600;390900;412600;426900;436100;0;0;0;0
Bindal;1811 Bindal;All ages;Average Gross income;161300;168600;179000;190500;191500;200000;217000;217700;240600;259300;266600;278400;293300;307200;316600;329300;349000;360800;383500;384300;398500;415700;509700;448000;489600
Birkenes;4216 Birkenes;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433200;470800;471200;498400
Birkenes;0928 Birkenes (-2019);All ages;Average Gross income;183300;196700;206300;218700;228400;233600;248700;255200;282300;305800;304700;311000;328000;340600;351300;363300;375400;373900;393800;414500;430000;0;0;0;0
Bjarkøy;1915 Bjarkøy (-2012);All ages;Average Gross income;165700;176000;189300;206100;208300;220000;227500;237900;265000;287200;293000;312600;323900;0;0;0;0;0;0;0;0;0;0;0;0
Bjerkreim;1114 Bjerkreim;All ages;Average Gross income;204100;214400;221300;244400;247500;259500;283800;279000;318300;348000;345500;357200;377500;397100;418800;430100;450300;440700;446200;451900;471800;499400;540500;552400;586600
Bjørnafjorden;4624 Bjørnafjorden;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;495500;534300;547600;583200
Bjørnøyanaturereserve;2121 Bjørnøya naturereserve;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bjugn;5017 Bjugn (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423400;435400;0;0;0;0
Bjugn;1627 Bjugn (-2017);All ages;Average Gross income;174800;185500;196200;210600;216300;220700;234800;242200;261600;283500;294600;301800;318200;334600;346300;363600;376600;390200;408800;0;0;0;0;0;0
Bodin;1843 Bodin (-1967);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bodø;1804 Bodø;All ages;Average Gross income;223600;234700;250700;264300;277000;277200;302100;298700;320400;342700;348100;357800;377000;389100;405800;417900;434700;441100;452100;472300;485700;502400;542400;544500;579400
Bokn;1145 Bokn;All ages;Average Gross income;198000;206700;218900;238100;252900;239900;256700;276300;330900;325700;324800;351300;368700;381900;394200;409800;421400;427500;430400;446700;472500;500300;523500;562200;590100
Bømlo;4613 Bømlo;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;491500;532700;544600;583300
Bømlo;1219 Bømlo (1916-2019);All ages;Average Gross income;202500;211900;224200;244700;267700;295300;312900;283100;317500;338900;350600;359500;380100;393300;411700;427900;471700;431500;435600;449500;470900;0;0;0;0
BøNordland;1867 Bø (Nordland);All ages;Average Gross income;163700;196300;185700;194200;194400;201900;217500;221400;239500;269200;264300;273600;295100;309300;316300;329800;344000;353500;368000;379000;404700;413100;622600;478600;532600
Borge;0113 Borge (-1993);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borre;0717 Borre (-1987);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BøTelemark;0821 Bø (Telemark) (-2019);All ages;Average Gross income;191700;203900;212900;224900;228000;233600;260800;206100;282100;301200;304700;311900;326800;334300;346900;358600;378400;378000;384200;388800;402200;0;0;0;0
Bremanger;4648 Bremanger;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453200;477500;494000;531500
Bremanger;1438 Bremanger (-2019);All ages;Average Gross income;192600;204700;218100;224900;227100;232500;247800;255500;281900;302600;303900;314200;334300;342900;347400;374300;383800;388700;397100;409500;434100;0;0;0;0
Brønnøy;1813 Brønnøy;All ages;Average Gross income;187500;198900;210900;219300;228800;241600;255800;255300;280500;302000;307800;319600;339100;353700;368300;379600;399800;403700;411100;423600;444100;458300;584700;504200;541500
Brønnøy;1814 Brønnøy (-1976);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brunlanes;0726 Brunlanes (-1987);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bygland;4220 Bygland;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441900;468600;474100;516100
Bygland;0938 Bygland (-2019);All ages;Average Gross income;173800;181300;198000;206400;217600;223300;248200;251800;282900;299000;303100;310900;332500;343900;357300;373300;368500;363400;389900;410800;426500;0;0;0;0
Bykle;4222 Bykle;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;508200;536800;515200;568800
Bykle;0941 Bykle (-2019);All ages;Average Gross income;203800;229300;233900;252500;264500;302400;397700;352800;327800;365300;358500;358800;404000;407100;446100;432100;439500;431400;456900;509400;493200;0;0;0;0
Continentalshelf;2300 Continental shelf;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DeatnuTana;5628 Deatnu - Tana;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DeatnuTana;5441 Deatnu - Tana (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438900;474900;498200;521200
DeatnuTana;2025 Deatnu - Tana (-2019);All ages;Average Gross income;180700;189500;200200;208900;220300;231900;239900;244000;267800;284400;295700;309400;328600;342900;350400;371600;379400;391400;393700;413900;427100;0;0;0;0
DielddanuorriTjeldsund;5512 Dielddanuorri - Tjeldsund;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DielddanuorriTjeldsund;5412 Dielddanuorri - Tjeldsund (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432900;467100;490100;503300
