Country,HändelseID,Fynddatum,Undersökt,Undersökt datum,Skada på,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Kön,Alder,Antall,Tilstand,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
Sweden,V473180,2002.11.15,Ja,2002.11.15,Annan hund,Annan,Wachtelhund,2002.11.13,2002.11.13,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1430,Holteröd,6518981,313138,6523490,1266520,RT90,Mycket bra,2002.11.15,Ja,2017.02.13,,2-1430,Munkedal (S),2-14,Västra Götalands län (S)
Sweden,V473183,2003.10.24,Ja,2003.10.24,Annan hund,Annan,Norsk älghund grå,2003.10.23,2003.10.24,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2031,Björnberget,6789399,513239,6791590,1470010,RT90,Mycket bra,2003.10.24,Ja,2017.02.13,,2-2031,Rättvik (S),2-20,Dalarnas län (S)
Sweden,V473184,2003.10.21,Ja,2003.10.22,Annan hund,Annan,Beagle,2003.10.21,2003.10.21,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1780,Ängebäck,6602204,437524,6605250,1391975,RT90,Mycket bra,2003.10.22,Ja,2017.02.13,,2-1780,Karlstad (S),2-17,Värmlands län (S)
Sweden,V473185,2003.10.24,Ja,2003.11.03,Annan hund,Annan,Finsk stövare,2003.10.24,2003.10.24,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1782,Nordmark,6632977,448757,6635900,1403587,RT90,Mycket bra,2003.11.03,Ja,2017.02.13,,2-1782,Filipstad (S),2-17,Värmlands län (S)
Sweden,V473187,1999.11.07,Ja,1999.11.07,Annan hund,Annan,Drever,1999.11.06,1999.11.07,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1081,Ronneby Tararp 1:8,6236264,507204,6238335,1457318,RT90,Mycket bra,1999.11.07,Ja,2017.02.13,,2-1081,Ronneby (S),2-10,Blekinge län (S)
Sweden,V473191,2003.11.15,Ja,2003.11.17,Annan hund,Annan,Gråhund,2003.11.15,2003.11.15,Nej,NA,Över 2 år,1,Avlivad,0,0,0,0,0,0,0,0,0,1,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2034,Tenningsjön,6794087,497749,6796471,1454573,RT90,Mycket bra,2003.11.17,Ja,2017.02.13,,2-2034,Orsa (S),2-20,Dalarnas län (S)
Sweden,V473192,2003.11.15,Ja,2003.11.17,Annan hund,Annan,Finsk stövare,2003.11.15,2003.11.15,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2031,Lenåsen,6765028,514129,6767200,1470600,RT90,Mycket bra,2003.11.17,Ja,2017.02.13,,2-2031,Rättvik (S),2-20,Dalarnas län (S)
Sweden,V473193,2003.11.21,Ja,2003.11.25,Annan hund,Annan,Jämthund,2003.11.21,2003.11.21,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1782,Brushöjden,6649821,449827,6652737,1404862,RT90,Mycket bra,2003.11.25,Ja,2017.02.13,,2-1782,Filipstad (S),2-17,Värmlands län (S)
Sweden,V473194,2003.11.09,Ja,2003.11.15,Annan hund,Annan,Gråhund,2003.11.09,2003.11.09,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2183,Arbrå vvo,6814662,566700,6816200,1523800,RT90,Mycket bra,2003.11.15,Ja,2017.02.13,,2-2183,Bollnäs (S),2-21,Gävleborgs län (S)
Sweden,V473198,2003.11.25,Ja,2003.11.27,Annan hund,Annan,Finsk Stövare,2003.11.25,2003.11.25,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1783,Hjortberg,6677562,430584,6680725,1385950,RT90,Mycket bra,2003.11.27,Ja,2017.02.13,,2-1783,Hagfors (S),2-17,Värmlands län (S)
Sweden,V473200,2003.09.13,Ja,2003.09.13,Annan hund,Annan,Hamiltonstövare,2003.09.13,2003.09.13,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1883,Svarttjärn,6588115,479521,6590646,1433818,RT90,Mycket bra,2003.09.13,Ja,2017.02.13,,2-1883,Karlskoga (S),2-18,Örebro län (S)
Sweden,V473204,2003.12.13,Ja,2003.12.13,Annan hund,Annan,Tysk jaktterrier,2003.12.13,2003.12.13,Nej,NA,1 till 2 år,1,Skadad,0,0,0,0,0,0,1,0,0,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1780,Nyeds-Bäckelid,6601364,442482,6604350,1396925,RT90,Mycket bra,2003.12.13,Ja,2017.02.13,,2-1780,Karlstad (S),2-17,Värmlands län (S)
Sweden,V473209,2002.10.06,Ja,2002.10.07,Annan hund,Annan,drever,2002.10.06,2002.10.06,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1884,Bastabergsmossen,6586351,494519,6588700,1448800,RT90,Mycket bra,2002.10.07,Ja,2017.02.13,,2-1884,Nora (S),2-18,Örebro län (S)
Sweden,V473211,2004.01.23,Ja,2004.01.23,Annan hund,Annan,Schiller stövare,2004.01.23,2004.01.23,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1782,Fogdhyttan,6629951,451693,6632837,1406487,RT90,Mycket bra,2004.01.23,Ja,2017.02.13,,2-1782,Filipstad (S),2-17,Värmlands län (S)
Sweden,V473212,2002.10.07,Ja,2002.10.07,Annan hund,Annan,Finsk stövare,2002.10.07,2002.10.07,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1765,Sundsbyn,6570677,330983,6575000,1285000,RT90,Mycket bra,2002.10.07,Ja,2017.02.13,,2-1765,Årjäng (S),2-17,Värmlands län (S)
Sweden,V473213,2002.12.22,Ja,2002.12.22,Annan hund,Annan,Strävhårig tax,2002.12.22,2002.12.22,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1780,Väse,6590925,442984,6593900,1397300,RT90,Mycket bra,2002.12.22,Ja,2017.02.13,,2-1780,Karlstad (S),2-17,Värmlands län (S)
Sweden,V473214,2003.09.01,Ja,2003.09.01,Annan hund,Annan,Schweitzerstövare,2003.09.01,2003.09.01,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1884,(svårläsligt)_ enl koordinat strax SO om sjön Älvlången,6586671,487917,6589100,1442200,RT90,Mycket bra,2003.09.01,Ja,2017.02.13,,2-1884,Nora (S),2-18,Örebro län (S)
Sweden,V473218,2003.12.05,Ja,2003.12.07,Annan hund,Annan,Jämthund,2003.12.05,2003.12.05,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1863,strax öster om Sörby_ 2_4 km S om Rockesholm_ Hällefors,6596960,479096,6599500,1433500,RT90,Mycket bra,2003.12.07,Ja,2017.02.13,,2-1863,Hällefors (S),2-18,Örebro län (S)
Sweden,V473220,2001.09.13,Ja,2001.10.18,Annan hund,Annan,Finsk stövare,2001.09.13,2001.09.13,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2034,Norr Skattungbyn,6786635,490970,6789100,1447700,RT90,Mycket bra,2001.10.18,Ja,2017.02.13,,2-2034,Orsa (S),2-20,Dalarnas län (S)
