Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
STOCKHOLM LÄN,"211,775","213,035","208,990","209,071","209,695","217,369","222,785","232,131","242,731","250,714","256,502","259,549","260,753","265,165","269,429","274,339","279,622","282,639","288,607","288,051","288,082","295,373","302,685","309,017","319,788","327,619","332,410","336,429","339,633","344,106","348,033"
Upplands Väsby,"223,255","221,308","217,598","217,842","218,758","228,024","233,851","241,970","251,772","259,175","264,202","267,308","268,295","269,994","272,869","276,634","281,041","282,224","287,370","284,509","284,057","288,358","293,244","298,910","308,500","314,386","317,715","319,307","319,845","322,986","324,004"
Vallentuna,"215,853","216,728","213,083","215,420","217,683","226,343","232,742","240,272","251,800","259,856","266,493","271,867","272,822","277,616","284,892","290,353","297,667","300,281","308,535","310,557","311,654","318,893","327,116","335,132","342,572","350,294","354,819","357,895","359,998","365,965","370,100"
Österåker,"217,213","217,910","215,482","217,498","218,386","225,818","231,416","241,124","252,798","263,156","269,015","272,685","272,851","278,911","285,236","290,045","294,836","297,064","305,795","306,627","304,609","309,647","318,707","324,626","332,652","337,012","342,441","345,075","348,625","356,446","359,628"
Värmdö,"214,494","215,103","211,671","213,858","215,585","222,340","230,463","240,367","250,982","260,208","266,474","271,734","273,855","280,993","286,267","291,476","297,697","300,707","308,470","310,359","309,241","314,787","322,902","329,812","340,153","347,291","351,558","354,286","357,757","362,371","367,500"
Järfälla,"232,167","231,502","226,488","226,862","226,919","234,364","241,461","249,284","258,307","265,479","270,232","273,494","273,886","277,355","280,114","283,963","286,540","288,118","293,155","290,866","287,842","293,505","298,337","301,976","309,765","317,410","321,884","324,466","326,421","329,314","330,265"
Ekerö,"229,146","226,627","222,678","225,138","226,602","237,831","243,383","253,764","266,081","275,799","282,498","285,155","289,140","296,589","301,498","306,847","313,423","316,142","324,524","323,809","325,298","330,627","337,888","345,455","355,592","363,141","368,732","372,280","373,790","381,737","387,982"
Huddinge,"218,119","218,206","214,353","213,260","213,171","220,898","225,664","234,885","244,636","252,079","258,012","260,356","261,307","265,348","269,206","272,162","275,568","276,534","280,602","280,196","279,963","286,081","292,357","297,682","307,915","315,909","320,071","322,421","326,199","328,912","333,318"
Botkyrka,"204,826","204,466","199,677","197,582","196,016","198,762","201,656","208,643","216,149","221,631","227,835","229,042","231,045","234,463","236,099","237,139","239,739","241,012","243,403","241,212","239,366","243,830","250,208","255,105","263,545","270,656","276,320","279,309","279,720","283,080","285,586"
Salem,"226,427","226,036","220,138","222,259","222,065","232,210","240,056","247,674","258,971","268,170","274,101","278,064","280,536","285,708","290,756","295,103","301,077","304,949","312,103","311,597","309,543","313,745","320,551","327,302","335,841","340,467","347,939","350,445","350,500","353,627","355,446"
Haninge,"216,911","216,876","211,248","210,431","210,009","217,245","221,756","229,678","240,012","247,181","252,771","256,391","256,878","260,861","264,071","267,532","270,730","271,889","277,078","275,048","272,541","279,349","285,730","290,975","299,738","306,394","311,139","314,995","316,571","321,290","325,386"
Tyresö,"227,484","227,070","223,384","224,086","224,558","232,295","238,380","248,212","258,499","267,629","274,059","278,883","280,332","283,303","288,397","293,501","298,567","300,764","307,576","306,702","305,934","311,793","321,052","327,536","337,975","344,786","348,467","351,795","352,903","357,535","362,500"
Upplands-Bro,"215,551","216,581","213,506","213,522","215,966","221,980","227,475","236,461","247,530","254,290","259,013","261,662","262,271","266,437","270,638","272,473","277,145","279,211","284,303","282,981","282,987","288,917","295,087","300,325","308,731","314,483","319,997","322,105","323,429","325,516","326,643"
Nykvarn,0,0,0,0,0,0,0,"249,916","260,854","268,406","277,037","279,222","281,933","291,209","297,563","303,484","311,873","315,988","317,656","319,504","319,593","326,762","335,757","340,078","351,031","360,812","368,531","372,131","376,105","378,842","385,836"
Täby,"238,662","238,593","235,520","239,549","240,531","251,973","259,704","270,719","282,690","291,091","297,350","301,065","301,470","306,205","313,041","320,843","328,170","331,449","340,416","339,196","338,109","345,728","354,966","362,561","371,866","381,368","385,864","388,950","393,233","401,759","409,021"
Danderyd,"240,022","240,809","239,189","242,057","243,979","255,297","263,193","273,806","288,439","297,916","305,611","308,675","308,275","317,784","323,616","336,439","341,534","345,105","353,786","352,120","350,246","358,743","368,383","376,238","387,081","395,550","401,443","406,232","417,371","429,090","436,757"
Sollentuna,"226,880","227,070","223,243","225,098","227,346","237,761","244,619","254,345","266,406","275,982","283,779","285,572","287,150","292,009","296,493","302,095","308,071","311,076","317,848","315,840","315,389","322,673","331,305","335,807","346,618","353,748","357,538","359,434","361,819","369,858","373,728"
Stockholm,"205,280","207,273","202,781","202,559","203,196","209,846","214,865","224,727","236,118","244,829","250,773","253,244","254,608","258,671","263,326","269,539","276,013","280,845","287,277","287,416","288,885","297,573","305,758","312,996","325,127","334,151","339,211","344,009","348,496","353,294","357,677"
Södertälje,"202,410","204,614","201,793","200,014","199,869","207,072","212,028","217,544","225,014","229,625","235,764","239,035","241,276","244,979","247,676","247,740","247,755","248,014","248,946","244,279","244,803","249,889","254,171","256,492","264,832","271,727","277,840","284,592","287,803","288,954","288,880"
Nacka,"223,859","224,263","219,856","221,198","221,887","229,916","236,949","247,252","258,552","267,492","274,562","279,887","281,561","288,418","294,467","300,620","307,504","310,312","317,664","317,877","319,664","328,131","335,021","344,348","356,604","364,353","369,174","373,632","378,595","385,819","394,640"
Sundbyberg,"208,905","208,012","202,640","202,921","205,029","213,077","218,565","229,857","242,474","250,756","258,509","259,506","259,093","261,427","264,895","267,776","274,960","275,300","280,883","280,569","280,225","289,423","297,045","306,225","317,579","328,891","337,262","344,219","350,470","356,059","361,071"
Solna,"208,603","210,080","205,462","204,704","204,572","211,258","216,550","226,591","236,596","246,061","252,411","257,966","259,087","262,221","266,896","273,330","280,629","285,336","292,608","291,139","290,741","301,564","312,657","322,406","334,306","343,176","349,818","355,544","361,039","367,605","370,852"
Lidingö,"234,735","236,377","230,016","234,558","236,208","244,704","250,330","260,285","270,709","278,624","284,442","287,805","288,990","294,489","301,341","307,522","314,056","316,446","325,267","322,142","320,716","329,387","336,898","343,582","353,861","362,632","370,525","374,291","379,461","387,958","395,261"
Vaxholm,"217,364","219,978","215,482","217,153","216,629","227,103","234,731","241,064","251,200","261,780","271,917","277,456","278,171","283,773","291,716","298,295","308,302","307,767","319,437","320,657","323,416","330,301","339,920","344,117","355,032","362,950","368,325","372,825","372,341","380,625","386,037"
Norrtälje,"185,341","188,215","184,578","186,392","187,643","194,463","198,992","207,794","216,425","223,037","226,063","231,427","234,059","238,331","241,825","245,859","249,215","249,606","255,530","253,746","252,608","257,992","264,206","267,424","274,496","282,414","285,179","287,816","289,022","293,638","296,127"
Sigtuna,"212,681","213,330","209,837","209,669","211,013","219,148","224,873","233,971","244,997","251,474","256,002","257,015","257,897","261,026","264,155","266,394","270,606","271,639","274,220","272,111","271,021","275,865","281,072","285,858","293,998","301,509","304,385","307,202","309,173","307,857","306,861"
Nynäshamn,"208,452","209,341","204,757","204,945","205,410","214,504","220,039","226,926","237,608","242,616","246,079","250,358","249,496","256,908","259,089","259,178","261,241","262,843","268,754","266,468","265,224","271,898","277,336","281,253","289,579","297,900","300,465","302,708","304,478","309,619","312,189"
UPPSALA LÄN,"192,138","194,125","189,517","189,133","189,552","196,039","201,064","210,055","219,935","227,252","232,758","238,016","240,869","245,489","248,966","251,673","255,988","258,172","263,874","262,280","262,892","269,635","276,841","282,640","292,405","299,157","303,068","305,132","307,140","311,174","312,259"
Håbo,"221,442","220,865","215,482","217,025","219,854","228,913","235,925","245,034","254,076","263,282","269,076","273,656","276,343","279,839","284,809","289,590","293,694","295,755","301,744","301,000","299,849","308,150","313,854","318,171","327,670","334,134","337,942","339,867","342,377","347,130","348,458"
Älvkarleby,"184,283","189,102","185,283","188,920","189,852","195,591","201,240","209,216","219,425","224,812","227,732","230,681","233,489","240,180","240,883","244,530","245,134","249,191","255,298","253,589","246,121","251,278","258,627","262,995","265,559","272,054","277,884","281,597","284,298","289,402","291,335"
Knivsta,0,0,0,0,0,0,0,0,0,0,0,"272,795","275,416","281,506","288,608","295,066","302,052","304,997","311,190","313,543","316,793","326,145","331,956","341,360","349,492","358,418","362,544","367,786","369,453","375,852","373,304"
Heby2,"170,084","174,033","171,454","170,068","170,858","176,123","179,633","187,672","197,191","201,728","205,868","213,930","216,928","220,497","223,974","227,272","230,652","230,940","234,919","232,916","232,152","239,337","246,594","251,172","257,190","265,128","271,944","272,569","277,029","281,222","282,078"
Tierp,"172,803","178,022","174,135","175,503","177,661","182,400","187,501","195,738","202,243","207,525","212,498","215,712","217,756","222,892","225,492","229,620","230,717","233,528","238,393","235,693","237,174","242,764","247,345","250,614","258,677","263,980","267,645","273,073","272,931","279,703","280,521"
Uppsala,"194,253","195,307","190,645","189,734","188,783","195,614","200,157","208,919","219,747","227,555","233,719","237,194","239,874","243,896","247,305","251,181","255,597","257,569","262,553","260,292","261,437","267,967","275,633","282,376","293,034","300,493","303,738","305,088","307,175","310,455","310,876"
Enköping,"187,909","190,579","186,553","186,295","187,909","194,829","200,264","209,974","218,235","225,092","229,227","234,418","237,796","243,079","246,733","250,803","255,937","257,051","265,682","263,991","264,079","272,171","278,816","283,225","293,294","298,649","302,426","305,343","306,909","310,732","313,694"
Östhammar,"184,283","187,920","183,166","183,170","186,486","192,422","196,737","205,861","214,754","221,048","226,457","230,600","233,389","238,870","242,878","245,483","248,948","253,361","260,610","258,885","258,683","266,024","272,856","276,875","283,353","287,070","292,621","294,014","296,463","303,555","306,619"
SÖDERMANLANDS LÄN,"188,966","192,056","188,388","188,434","189,606","194,890","199,768","208,049","215,662","221,374","225,727","230,337","234,092","239,112","243,249","247,355","251,310","253,368","257,632","255,014","254,723","259,454","264,630","267,213","275,699","281,616","285,887","288,455","289,623","293,581","296,800"
Vingåker,"177,184","181,715","177,945","179,652","182,785","191,294","193,467","201,160","208,092","215,295","218,850","223,914","225,708","230,427","232,676","237,273","238,990","241,232","247,913","244,022","241,895","244,970","249,241","251,838","257,084","259,652","263,866","265,402","271,076","275,335","273,848"
Gnesta,"187,002","189,693","186,130","187,402","189,986","196,503","202,297","210,689","220,689","227,082","231,865","237,314","240,376","243,542","247,657","253,364","259,033","260,821","265,661","264,422","264,290","268,157","271,997","277,295","285,592","290,023","296,919","300,005","300,790","304,448","306,433"
Nyköping,"192,742","195,307","191,774","191,247","192,666","197,841","203,286","211,723","219,054","225,282","229,596","235,080","239,182","243,962","249,028","253,324","257,769","259,619","264,818","264,048","264,307","268,645","275,565","280,978","288,395","294,540","298,556","302,040","303,355","304,749","307,972"
Oxelösund,"209,811","211,410","206,027","205,693","208,403","215,775","221,221","227,291","236,342","241,520","242,672","246,751","248,591","251,829","255,280","257,570","260,192","262,857","266,837","263,609","263,074","264,772","270,347","268,465","272,061","275,794","279,685","283,030","286,761","288,581","290,072"
Flen,"181,111","184,817","181,755","182,211","184,466","189,252","192,789","200,550","205,019","211,677","215,633","219,806","223,909","229,572","231,896","233,807","234,854","235,101","238,215","235,131","231,710","234,295","238,461","237,787","242,977","246,683","250,711","250,832","253,851","259,807","259,997"
Katrineholm,"179,752","184,226","181,614","182,014","183,081","188,220","193,707","202,423","209,936","216,778","219,381","222,021","222,685","226,609","230,730","233,282","236,793","238,128","244,727","240,916","241,530","246,784","251,724","255,709","264,971","270,222","274,199","276,442","277,452","283,784","286,704"
Eskilstuna,"187,002","189,693","185,424","185,241","185,257","190,004","194,152","202,212","208,276","212,359","217,045","222,216","227,548","232,832","237,296","241,762","245,489","247,844","249,232","244,774","244,942","249,679","254,314","255,806","264,822","271,426","275,626","277,754","278,253","281,259","285,219"
Strängnäs,"196,065","199,739","196,008","196,749","197,057","203,296","208,559","217,064","227,870","234,522","240,805","246,147","248,462","255,361","259,307","262,395","267,356","268,460","276,602","276,695","276,323","283,191","288,693","292,114","303,114","308,838","314,632","316,244","317,331","321,377","324,948"
Trosa,"205,431","207,421","204,757","206,378","210,553","218,356","226,251","235,590","244,230","251,549","256,100","259,207","261,515","268,942","276,195","280,884","285,236","288,449","291,453","295,725","294,587","299,966","301,127","306,269","315,012","323,506","324,140","329,856","331,344","339,851","340,296"
ÖSTERGÖTLANDS LÄN,"184,132","187,329","183,872","183,948","185,024","190,521","195,014","203,640","211,283","218,437","220,893","226,324","228,833","233,425","236,390","240,095","244,126","246,308","251,624","249,446","249,119","254,936","261,906","266,430","275,998","283,661","288,042","291,322","294,591","299,890","304,065"
Ödeshög,"159,511","160,145","157,342","161,744","160,804","166,805","172,721","183,768","190,452","196,417","197,699","204,689","209,350","213,308","216,336","222,577","225,495","226,772","229,573","229,584","229,107","231,883","240,324","241,929","247,770","253,967","257,758","263,311","267,338","274,858","279,972"
Ydre,"158,756","159,407","158,189","161,074","164,828","170,665","175,071","184,221","194,075","199,678","204,524","211,184","218,622","220,458","221,602","227,632","233,680","239,905","247,091","243,741","237,655","243,700","250,473","253,739","262,299","270,883","276,183","277,323","276,021","287,298","288,992"
Kinda,"162,532","167,237","167,503","168,793","170,857","175,743","182,288","188,290","195,473","202,425","205,459","212,670","217,934","223,371","229,111","232,054","234,065","236,990","244,283","243,504","243,727","249,037","257,096","260,817","267,383","276,073","279,827","283,703","285,833","290,473","296,714"
