Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
Karlshamn,"186,700","190,431","187,400","188,691","190,856","194,479","198,783","207,719","215,419","220,254","222,341","226,390","230,768","234,581","238,666","242,285","245,293","248,092","252,036","248,367","246,008","251,211","255,838","259,440","266,462","275,848","280,651","283,910","284,287","289,088","292,170"
Sölvesborg,"176,882","180,681","176,675","178,387","180,681","185,512","191,893","200,320","207,621","214,046","215,154","222,078","226,866","231,582","234,686","236,719","239,022","240,869","243,637","240,808","239,800","246,074","253,332","256,384","266,643","273,599","279,025","282,426","283,871","292,078","295,695"
SKÅNE LÄN,"183,226","185,999","182,461","182,364","183,582","188,209","192,365","200,706","207,722","212,902","216,160","220,566","223,918","228,106","231,630","235,328","238,337","239,555","243,701","241,128","244,239","250,084","257,447","261,305","270,810","278,616","282,467","285,489","288,712","295,137","299,398"
Svalöv,"176,127","180,090","177,522","180,311","182,304","186,159","188,072","197,592","205,322","212,998","214,623","222,109","224,225","227,125","229,141","234,937","237,345","242,922","245,773","245,269","247,293","250,800","255,317","262,197","271,466","280,098","283,472","287,602","288,234","299,194","303,036"
Staffanstorp,"211,775","212,739","209,555","210,383","211,073","219,274","227,355","236,961","246,605","251,720","257,576","262,482","264,290","269,805","273,644","278,348","282,092","282,831","290,857","291,058","293,336","299,952","308,691","315,958","325,750","332,908","335,946","341,557","345,408","351,075","355,765"
Burlöv,"198,482","200,034","196,996","195,000","194,810","198,881","204,401","212,739","219,303","220,651","225,249","227,160","229,726","232,686","234,304","238,284","239,635","238,965","242,724","238,114","240,276","245,524","251,894","255,092","261,545","269,317","271,963","274,361","276,538","283,924","288,374"
Vellinge,"212,681","214,660","212,095","214,272","216,200","225,428","231,378","242,350","252,364","258,925","263,537","269,862","271,842","278,125","283,638","286,865","292,980","293,917","301,151","300,364","306,831","315,110","325,179","330,742","342,128","348,179","356,107","361,028","366,746","375,119","382,388"
Östra Göinge,"185,039","186,738","183,872","184,337","187,664","191,432","196,308","205,914","213,377","218,157","221,844","224,491","228,344","232,199","235,472","239,755","243,042","242,770","243,256","240,124","237,542","242,750","245,298","245,591","249,962","255,417","258,082","259,340","262,813","268,438","272,241"
Örkelljunga,"166,761","170,782","168,632","170,805","173,462","178,708","182,632","191,756","198,627","201,401","202,877","209,449","212,311","217,277","220,847","224,265","225,980","226,112","225,286","224,181","225,169","231,434","239,746","239,934","247,475","254,580","259,335","261,446","263,106","269,368","275,385"
Bjuv,"190,023","191,909","187,682","187,610","188,905","194,094","200,515","208,567","214,190","220,287","221,984","226,724","229,906","232,018","234,771","235,338","236,791","237,362","239,491","237,164","239,133","245,983","251,285","255,289","262,855","269,891","271,571","271,112","274,432","280,957","284,323"
Kävlinge,"196,972","200,034","198,689","200,000","201,041","207,981","215,003","223,171","232,922","240,142","244,294","250,619","253,304","257,872","264,806","269,891","276,559","280,326","287,302","289,041","290,513","297,196","304,721","310,346","320,222","328,035","332,645","336,395","340,106","348,102","355,000"
Lomma,"214,192","215,251","213,224","215,150","218,085","227,522","233,952","245,199","256,734","262,968","266,667","271,773","278,179","283,453","288,903","297,586","303,748","307,659","319,945","321,140","325,354","333,183","344,331","353,431","364,274","374,949","381,679","384,584","392,269","401,013","408,724"
Svedala,"201,201","204,318","201,935","203,182","204,403","210,823","218,759","228,056","236,249","241,888","248,477","252,523","254,892","260,485","264,342","268,003","272,804","275,522","284,102","284,954","289,565","298,259","303,973","309,561","319,471","325,300","330,378","332,885","337,566","341,937","349,219"
