id,sex,Country_fatefile,territory,Revir_Vinter,Y_coordinate_fatefile,X_coordinate_fatefile,Autumn,Spring,Fate,confirmed illegal,Radio collar,Comment,average_paved_km,average_gravel_km,average_light,average_hf,dem_mean,slope_mean,aspect_mean,ruggedness_mean,KommunerKode,KommunerNamn,Country,pop_mean,Norwegian_wolf_zone,number_neighbour_terr,Reindeerarea,mean_snow,n_months_monitoringseason_averagesnow,hunt_afo,hunt_county,extr_parabol_2yr_value,extr_parabol_5yr_value,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,code_11,code_12,code_16,code_18,code_20,code_21,code_23,code_24,code_25,code_26,code_27,code_29,code_30,code_31,code_32,code_33,code_35,code_36,code_37,code_39,code_40,code_41,code_42,code_43,code_44,monitoredwolfterrcentroid,SLU-ID,Fi,BirthTerr
G1-01,F,N,Moss,Moss-Våler_9900,6607633,1227572,1999,2000,NA,NA,0,NA,0.84,1.19,5.19,17.29,99.132,34.659,184.906,0.319,137,Våler,N,106.021,0,0,0,NA,NA,NA,1186.8,0.466079793,0.186431917,0,0.01945,0.00463,0.00165,0,0.00194,0.00066,0,0,0.00035,0.00395,0.24197,0,0,0.00407,0.07519,0.01052,0.5161,0.00273,0,0,0.04525,0,0,0,0,0,0.00706,0,0,0.01931,0.04288,0,0,0.00229,1,G1-01,0.125,Hag2
M-98-08,M,N,Moss,Moss-Våler_9900,6607633,1227572,1999,2000,NA,NA,1,NA,0.84,1.19,5.19,17.29,99.132,34.659,184.906,0.319,137,Våler,N,106.021,0,0,0,NA,NA,NA,1186.8,0.466079793,0.186431917,0,0.01945,0.00463,0.00165,0,0.00194,0.00066,0,0,0.00035,0.00395,0.24197,0,0,0.00407,0.07519,0.01052,0.5161,0.00273,0,0,0.04525,0,0,0,0,0,0.00706,0,0,0.01931,0.04288,0,0,0.00229,1,M-98-08,0.125,Hag2
M-00-07,M,S,Nyskoga 5,Nyskoga_9900,6716039,1333878,1999,2000,NA,NA,1,NA,0.27,1.09,0.42,4.16,389.053,19.782,172.402,0.21,1737,Torsby,S,5.876,0,1,0,NA,NA,NA,880.5,0.286725288,0.137183691,0,0.00075,0,0,0,0,0,0,0,0,0.00082,0.00147,0,0,0.00379,0.00171,0.00062,0.80605,0.02925,0,0,0.06242,0,0,0,0,0.00083,0.05641,0,0,0.00248,0.03341,0,0,0,1,M-00-07,0.125,Hag2
M-00-08,F,S,Nyskoga 5,Nyskoga_9900,6716039,1333878,1999,2000,NA,NA,1,NA,0.27,1.09,0.42,4.16,389.053,19.782,172.402,0.21,1737,Torsby,S,5.876,0,1,0,NA,NA,NA,880.5,0.286725288,0.137183691,0,0.00075,0,0,0,0,0,0,0,0,0.00082,0.00147,0,0,0.00379,0.00171,0.00062,0.80605,0.02925,0,0,0.06242,0,0,0,0,0.00083,0.05641,0,0,0.00248,0.03341,0,0,0,1,M-00-08,0.234375,Årj
M-00-01,M,S,Årjangkongsvinger,Årjäng-Kongsvinger_9900,6646256,1276503,1999,2000,NA,NA,1,NA,0.47,1.61,0.47,5.87,244.029,31.487,176.646,0.321,221,Aurskog-Høland,N,12.467,0,0,0,NA,NA,NA,2434.8,0.396014379,0.230397387,0,0.00275,0,0,0,0,0,0,0,0,0,0.02787,0,0.0015,0.00156,0.02491,0.00055,0.76064,0.00133,0,0,0.04654,0,0,0,0,0,0.06171,0,0,0,0.07064,0,0,0,1,M-00-01,0.125,Hag1
M-00-02,F,S,Årjangkongsvinger,Årjäng-Kongsvinger_9900,6646256,1276503,1999,2000,NA,NA,1,NA,0.47,1.61,0.47,5.87,244.029,31.487,176.646,0.321,221,Aurskog-Høland,N,12.467,0,0,0,NA,NA,NA,2434.8,0.396014379,0.230397387,0,0.00275,0,0,0,0,0,0,0,0,0,0.02787,0,0.0015,0.00156,0.02491,0.00055,0.76064,0.00133,0,0,0.04654,0,0,0,0,0,0.06171,0,0,0,0.07064,0,0,0,1,M-00-02,0.125,Fre
D-01-18,M,N,Atndalen,Atndalen_0001,6877163,1233512,2000,2001,legal,NA,0,NA,0.11,0.4,0.11,4,812.077,22.098,166.816,0.388,432,Rendalen,N,1.893,0,1,0,75.00913978,4,NA,6744,0.54065193,0.306472746,0,0,0,0,0,0,0,0,0,0,0.00048,0.00091,0,0,0.00093,0.00962,0.05468,0.41844,0.0292,0,0.02813,0.03328,0,0.00998,0.33711,0.00153,0,0.06572,0,0,0.00605,0.00393,0,0,0,1,D-01-18,0.125,Fre
D-01-21,F,N,Atndalen,Atndalen_0001,6877163,1233512,2000,2001,legal,NA,0,NA,0.11,0.4,0.11,4,812.077,22.098,166.816,0.388,432,Rendalen,N,1.893,0,1,0,75.00913978,4,NA,6744,0.54065193,0.306472746,0,0,0,0,0,0,0,0,0,0,0.00048,0.00091,0,0,0.00093,0.00962,0.05468,0.41844,0.0292,0,0.02813,0.03328,0,0.00998,0.33711,0.00153,0,0.06572,0,0,0.00605,0.00393,0,0,0,1,D-01-21,NA,Mitt
M-00-09,M,S,Bograngen 1,Bograngen_0001,6746432,1320516,2000,2001,NA,NA,1,NA,0.27,1.27,0,5.25,383.232,19.112,172.522,0.198,1737,Torsby,S,5.619,1,0,0,75.02042749,4,NA,1798.1,0.496251034,0.288875317,0,0.00083,0,0,0,0,0,0,0,0,0.00061,8.00E-05,0,0.00048,0.00079,0.00169,0.00212,0.65542,0.07411,0,0,0.13213,0,0,0,0,0,0.09599,0,0,0.00392,0.03184,0,0,0,1,M-00-09,0.125,Fre
M-00-11,F,S,Bograngen 1,Bograngen_0001,6746432,1320516,2000,2001,NA,NA,1,NA,0.27,1.27,0,5.25,383.232,19.112,172.522,0.198,1737,Torsby,S,5.619,1,0,0,75.02042749,4,NA,1798.1,0.496251034,0.288875317,0,0.00083,0,0,0,0,0,0,0,0,0.00061,8.00E-05,0,0.00048,0.00079,0.00169,0.00212,0.65542,0.07411,0,0,0.13213,0,0,0,0,0,0.09599,0,0,0.00392,0.03184,0,0,0,1,M-00-11,0.375,Ny4b
M-02-08,M,S,Dals Ed 2,Dals Ed-Halden_0001,6544732,1267622,2000,2001,NA,NA,1,NA,0.37,1.19,0.28,6.81,166.742,37.786,175.726,0.403,1438,Dals-Ed,S,16.548,1,0,0,48.5421875,4,NA,359.9,0.494275723,0.481524614,0,0.0023,8.00E-04,0,0,0,0,0,0,0.00085,0,0.04178,0,0.00087,0.00168,0.0165,0.00246,0.75074,0.02025,0,0,0.03427,0,6.00E-04,0,0,0,0.0381,0,0,0,0.08763,0,0.00016,0.00101,1,M-02-08,0.234375,Kop1
M-03-07,F,S,Dals Ed 2,Dals Ed-Halden_0001,6544732,1267622,2000,2001,NA,NA,1,NA,0.37,1.19,0.28,6.81,166.742,37.786,175.726,0.403,1438,Dals-Ed,S,16.548,1,0,0,48.5421875,4,NA,359.9,0.494275723,0.481524614,0,0.0023,8.00E-04,0,0,0,0,0,0,0.00085,0,0.04178,0,0.00087,0.00168,0.0165,0.00246,0.75074,0.02025,0,0,0.03427,0,6.00E-04,0,0,0,0.0381,0,0,0,0.08763,0,0.00016,0.00101,1,M-03-07,0.234375,Kop1
G5-03,F,S,Filipstad,Filipstad_0001,6619852,1397111,2000,2001,NA,NA,0,NA,0.35,1.17,0.64,8.95,196.652,37.321,176.043,0.333,1782,Filipstad,S,24.025,0,0,0,64.95866935,4,NA,5.7,0.400725706,0.215333192,0,0.009,0.00166,0,0,0,0.00095,0,0,0,0.00114,0.05154,0,0.00092,0.00488,0.00809,0.00388,0.6872,0.05568,0,0,0.06483,0,0,0,0,0.00086,0.04004,0,0,0,0.06931,0,0,0,1,G5-03,0.375,Ny4b
M-05-08,M,S,Filipstad,Filipstad_0001,6619852,1397111,2000,2001,NA,NA,1,NA,0.35,1.17,0.64,8.95,196.652,37.321,176.043,0.333,1782,Filipstad,S,24.025,0,0,0,64.95866935,4,NA,5.7,0.400725706,0.215333192,0,0.009,0.00166,0,0,0,0.00095,0,0,0,0.00114,0.05154,0,0.00092,0.00488,0.00809,0.00388,0.6872,0.05568,0,0,0.06483,0,0,0,0,0.00086,0.04004,0,0,0,0.06931,0,0,0,1,M-05-08,0.125,Hag2
D-04-13,F,S,Furudal,Furudal_0001,6798942,1468323,2000,2001,NA,NA,0,NA,0.16,1.09,0.16,4.99,303.266,22.991,168.884,0.152,2031,Rättvik,S,5.4,0,0,0,74.7421875,4,NA,3.5,0.250137987,0.100055195,0,0.00282,0.00025,0,0,0,0,0,0,0,0.00073,0.00316,0,0,0.00066,0.00457,0.00035,0.70277,0.01273,0,0,0.16498,0,0,0,0,0.00168,0.03876,0,0,0,0.06655,0,0,0,1,D-04-13,0,Gh
G1-03,M,S,Furudal,Furudal_0001,6798942,1468323,2000,2001,NA,NA,0,NA,0.16,1.09,0.16,4.99,303.266,22.991,168.884,0.152,2031,Rättvik,S,5.4,0,0,0,74.7421875,4,NA,3.5,0.250137987,0.100055195,0,0.00282,0.00025,0,0,0,0,0,0,0,0.00073,0.00316,0,0,0.00066,0.00457,0.00035,0.70277,0.01273,0,0,0.16498,0,0,0,0,0.00168,0.03876,0,0,0,0.06655,0,0,0,1,G1-03,0.234375,Kop1
G1-02,M,S,Glaskogen 1,Glaskogen_0001,6594757,1312211,2000,2001,NA,NA,0,NA,0.22,1,0.18,6.32,179.048,37.193,174.903,0.398,1784,Arvika,S,12.1,0,0,0,55.3468078,4,NA,5.7,0.488050273,0.195220109,0,0.00107,0,0,0,0,0,0,0,0,0.00075,0.03104,0,0.0033,0.00152,0.00954,0.00293,0.68565,0.05638,0,0,0.03478,0,0,0,0,0,0.00377,0,0,0,0.16926,0,0,0,1,G1-02,0.125,Fre
