HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Antal döda körren,Antal avlivade körren,Antal skadade körren,Antal saknade körren,Skadeomfattning antal (inte djur),Skadeorsak,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
V446218,,2013.02.16,Ja,2013.02.16,,Ren,,,,2013.02.15,2013.02.15,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2284,Brattsele,7084012,608035,7085104,1568514,RT90,Exakt,2013.02.16,Nej,,Nej,,2013.02.18,2-2284,Örnsköldsvik (S),2-22,Västernorrlands län (S)
V446341,,2013.02.20,Ja,2013.02.20,,Ren,,,,2013.02.19,2013.02.19,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,V Kortingvattnet,7080729,597858,7081948,1558293,RT90,Exakt,2013.02.20,Nej,,Nej,,2013.02.20,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446351,,2013.02.28,Ja,2012.12.29,,Ren,,,,2013.02.28,2013.02.28,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Söder Hundsele,7081770,604934,7082900,1565384,RT90,Mycket bra,2013.02.24,Ja,,Nej,,2013.02.24,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446352,,2013.02.28,Ja,2012.12.29,,Ren,,,,2013.02.28,2013.02.28,Ja,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Gulbäcken,7078147,606748,7079253,1567153,RT90,Mindre bra,2013.02.24,Ja,,Nej,,2013.02.24,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446353,,2013.02.26,Ja,2012.12.29,,Ren,,,,2013.02.26,2013.02.26,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2284,Norr Risån,7085404,614557,7086413,1575055,RT90,Mindre bra,2013.02.24,Ja,,Nej,,2013.02.24,2-2284,Örnsköldsvik (S),2-22,Västernorrlands län (S)
V446428,,2013.02.23,Ja,2013.02.25,2013.02.24,Ren,,,,2013.01.17,2013.01.17,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Inmark (endast Norge),Fältkontroll - LST,Bedömd som säker,2-2582,Norr Harads,7341178,774289,7340190,1738078,RT90,Exakt,2013.02.27,Ja,,Nej,,2013.02.27,2-2582,Boden (S),2-25,Norrbottens län (S)
V446531,,2013.02.27,Ja,2013.03.04,2013.03.01,Ren,,,,2013.02.27,2013.02.27,Nej,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Varg,,Inmark (endast Norge),Fältkontroll - LST,Bedömd som säker,2-2582,Norr Harads,7342340,771959,7341382,1735763,RT90,Mindre bra,2013.03.05,Ja,,Nej,,2013.03.11,2-2582,Boden (S),2-25,Norrbottens län (S)
V446568,,2013.03.14,Nej,,2013.01.14,Annat djur,,,,2013.03.14,2013.03.14,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2039,Stormyrvallen,6839177,392455,6842882,1349794,RT90,Mycket bra,2013.03.05,Nej,,Nej,,2013.03.05,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
V446625,,2013.03.07,Ja,2013.03.07,,Ren,,,,2013.03.07,2013.03.07,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Hömyra,7086810,599956,7088004,1560469,RT90,Exakt,2013.03.07,Ja,,Nej,,2013.03.07,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V447063,,2013.04.02,Ja,2013.04.02,2013.03.30,Ren,,,,2013.03.29,2013.03.29,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2463,Sydväst Gravsjön,7089714,614819,7090721,1575372,RT90,Exakt,2013.04.02,Ja,,Nej,,2013.04.02,2-2463,Åsele (S),2-24,Västerbottens län (S)
