mod_id,id,sex,Country_fatefile,territory,Revir_Vinter,Autumn,Spring,Fate,confirmed.illegal,Radio.collar,Comment,geometry,NAME_1,NAME_2,KommunerNamn,SLU.ID,ruggedness_mean,average_gravel_km,average_paved_km,artificial_area_total,pop_mean,mean_snow,hunt_afo,hunt_county2,Fi,number_neighbour_terr,bear_density_BZtiff,mean_fi,max_fi,wolfLKill_cumall,wolfLKill_last5y,wolfLKill_n,NoAffectedSheep_cumall,NoAffectedSheep_last5y,NoAffectedSheep,sheepAttacks_n,AttackDogs_cumall,AttackDogs_last5y,AttackDogs_n,IndividualIncome,income_prop,year_average,first_yeardet,last_yeardet,years_firstdet,time_start,time_end
257,G258-17,F,S,Brännan,Brännan_1819,2018,2019,illegal,NA,0,Brännan 1819 not registered by VSC. Both disappeared early in autumn 2018. Coordinates calculated by OL,list(),Värmland,Årjäng,årjäng,G258-17,0.36,1.19,0.28,8.4e-4,9.401,83.0260416666667,19.7,2.3,0.206949,5,0,0.2587745,0.3106,1,0,0,17,0,0,0,14,6,0,285176,0.9468401840257957,301187.04804804805,2017,2018,1,1,2
258,G66-16,M,S,Brännan,Brännan_1819,2018,2019,illegal,NA,0,NA,list(),Värmland,Årjäng,årjäng,G66-16,0.36,1.19,0.28,8.4e-4,9.401,83.0260416666667,19.7,2.3,0.3106,5,0,0.2587745,0.3106,1,0,0,17,0,0,0,14,6,0,285176,0.9468401840257957,301187.04804804805,2017,2018,1,1,2
273,G258-17,F,S,Brännan,Brännan_1718,2017,2018,NA,NA,0,NA,list(),Värmland,Årjäng,årjäng,G258-17,0.357,1.18,0.29,0,9.371,67.8541666666667,27.6,2.2,0.206949,3,2e-8,0.2587745,0.3106,1,0,0,17,0,0,0,14,6,0,284945,0.9573527385124277,297638.46546546544,2017,2018,0,0,1
274,G66-16,M,S,Brännan,Brännan_1718,2017,2018,NA,NA,0,NA,list(),Värmland,Årjäng,årjäng,G66-16,0.357,1.18,0.29,0,9.371,67.8541666666667,27.6,2.2,0.3106,3,2e-8,0.2587745,0.3106,1,0,0,17,0,0,0,14,6,0,284945,0.9573527385124277,297638.46546546544,2017,2018,0,0,1
327,G254-17,M,S,Laxarby 1,Laxarby_1718,2017,2018,NA,NA,0,NA,list(),Värmland,Årjäng,bengtsfors,G254-17,0.452,1.16,0.34,0.00134,14.4,63.703125,2.8,2.4,0.218197,4,0,0.2643985,0.3106,1,0,0,17,0,0,0,14,6,0,284945,0.9573527385124277,297638.46546546544,2017,2018,0,0,1
328,G270-17,F,S,Laxarby 1,Laxarby_1718,2017,2018,NA,NA,0,NA,list(),Värmland,Årjäng,bengtsfors,G270-17,0.452,1.16,0.34,0.00134,14.4,63.703125,2.8,2.4,0.3106,4,0,0.2643985,0.3106,1,0,0,17,0,0,0,14,6,0,284945,0.9573527385124277,297638.46546546544,2017,2018,0,0,1
373,G272-17,F,S,Stora Bör 1,Stora Bör_1718,2017,2018,NA,NA,0,NA,list(),Värmland,Årjäng,årjäng,G272-17,0.43,1.12,0.25,0.00122,11.75,64.5909090909091,2.3,2,0.3106,4,0,0.3323095,0.354019,1,0,0,17,0,0,0,14,6,0,284945,0.9573527385124277,297638.46546546544,2017,2018,0,0,1
374,G90-17,M,S,Stora Bör 1,Stora Bör_1718,2017,2018,NA,NA,0,NA,list(),Värmland,Årjäng,årjäng,G90-17,0.43,1.12,0.25,0.00122,11.75,64.5909090909091,2.3,2,0.354019,4,0,0.3323095,0.354019,1,0,0,17,0,0,0,14,6,0,284945,0.9573527385124277,297638.46546546544,2017,2018,0,0,1
964,G12-10,F,S,Djurskog 3,Djurskog_1213,2012,2013,NA,NA,0,NA,"c(11.9296155284103, 59.2394858805278)",Värmland,Årjäng,årjäng,G12-10,0.359,1.23,0.29,2.9e-4,9.015,68.9450431034483,60.4,3.7,0,2,0,0.1380615,0.276123,1,1,0,17,11,1,1,8,5,1,234117,0.8829942000477531,265139.9069069069,2010,2013,2,2,3
965,G22-12,M,S,Djurskog 3,Djurskog_1213,2012,2013,NA,NA,0,NA,"c(11.9296155284103, 59.2394858805278)",Värmland,Årjäng,årjäng,G22-12,0.359,1.23,0.29,2.9e-4,9.015,68.9450431034483,60.4,3.7,0.276123,2,0,0.1380615,0.276123,1,1,0,17,11,1,1,8,5,1,234117,0.8829942000477531,265139.9069069069,2010,2013,2,2,3
