"fate","id","territory","Autumn","Spring","terrRug","humPop","fi","mean_fi","max_fi","mooseHunt","wolfNeighbour","AttackDogs_n","AttackDogs_last5y","AttackDogs_cumall","wolfLKill_n","wolfLKill_last5y","wolfLKill_cumall","sheepAttacks_n","NoAffectedSheep","NoAffectedSheep_last5y","NoAffectedSheep_cumall","IndividualIncome","bearDensity","KommunerNamn","NAME_1","NAME_2","first_yeardet","years_firstdet"
1,"G21-10","Hästberget",2011,2012,-0.463921535374277,-0.527133850891576,2.03415518104923,1.73894610325526,2.09099988373896,0.635894950410761,1.05729160050623,1.93432497473522,9,21,0.478557175011141,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.70755012159004,2.24230252531828,-0.800226753575431,-0.247606393410317,"torsby","Värmland","Torsby",2010,1
0,"G58-10","Fänstjärn",2012,2013,0.124037991152077,-0.489532122111568,0.570921723580544,-1.11370674084734,0.431787988500238,1.20546465625612,1.05729160050623,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.531502222568775,"torsby","Värmland","Torsby",2012,0
0,"G29-10","Juvberget 2",2012,2013,-0.775194225888229,-0.450818098971592,0.631529236397171,0.488179877508032,0.500512979507581,1.34785708271746,0.487816518355726,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.379437400588813,"torsby","Värmland","Torsby",2010,2
0,"G32-12","Kläggen",2012,2013,0.285438645492644,-0.474948707169773,0.570921723580544,0.821834406113157,0.431787988500238,1.4902495091788,2.19624176480723,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.540583460679368,"torsby","Värmland","Torsby",2012,0
0,"G78-11","Medskogen 1",2012,2013,-0.279463644699343,-0.454402158575931,1.11566824310771,1.36118686931844,1.04949523164445,1.77503436210148,1.62676668265673,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.419568310126972,"torsby","Värmland","Torsby",2011,1
0,"G10-10","Trång 1",2012,2013,-0.279463644699343,-0.522499291058379,0.254904434692917,0.623563577959182,0.0734448668697919,1.77503436210148,1.62676668265673,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.517288554379948,"torsby","Värmland","Torsby",2009,3
0,"G33-11","Värnas",2012,2013,-0.47545015354146,-0.530223557447041,0.570921723580544,0.853274392360308,0.431787988500238,1.20546465625612,1.62676668265673,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.491422331222248,"torsby","Värmland","Torsby",2011,1
1,"M-05-10","Juvberget 2",2012,2013,-0.775194225888229,-0.450818098971592,-0.459394173059107,0.488179877508032,0.500512979507581,1.34785708271746,0.487816518355726,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.379437400588813,"torsby","Värmland","Torsby",2010,2
1,"G55-12","Medskogen 1",2012,2013,-0.279463644699343,-0.454402158575931,0.498776677604365,1.36118686931844,1.04949523164445,1.77503436210148,1.62676668265673,-0.559341656004787,5,21,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,0.116712909446952,2.53789844546956,2.33766545868541,-0.517057964765934,-0.419568310126972,"torsby","Värmland","Torsby",2011,1
0,"G11-11","Gräsmark 4",2013,2014,1.29995704420478,-0.290833093529618,0.0514372003258864,0.696060150707506,0.310704929446341,0.351110097488082,1.62676668265673,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,-0.485545035546179,"torsby","Värmland","Torsby",2011,2
