"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity"
"1","G12-10",2014,0.361,9.145,0,3.2,0,2,0.00092,1,0,232660.041666667,0
"0","G136-12",2014,0.197,1,0.157578,2.2,1,6,0.00364,28,8,234749.541666667,0.001202242
"1","G48-11",2014,0.238,4,0,3,3,47,0,16,44,233516.125,0.000644246
"1","G100-13",2014,0.212,34.75,0.26416,2.2,1,13,0.01334,8,13,250727.041666667,0.00155872
"0","G21-12",2014,0.192,2.25,0.469727,3,0,26,0.00112,14,18,236247.916666667,0.002472561
"0","G11-14",2014,0.147,0.95,0.126678,2.2,1,6,0.00555,28,8,234749.541666667,0.0019376
"0","G135-13",2014,0.168,1.1,0.290619,2.4,0,2,0,26,6,227041.125,0.001934578
"1","G123-12",2014,0.225,5.391,0.27356,3.3,5,47,0.00092,16,44,233516.125,0.000622617
"1","G56-13",2014,0.309,4.1,0.141403,2.9,4,21,0,4,9,238039.5,0.000486241
"1","G4-12",2014,0.321,11.6,0.302246,2.2,3,7,0,8,8,229955.125,0.000601511
"0","G6-08",2014,0.262,11.05,0.293457,2.4,4,9,0.00794,16,11,251975.083333333,0.00030059
"0","G44-13",2014,0.192,2.25,0.247803,3,0,26,0.00112,14,18,236247.916666667,0.002472561
"1","G51-10",2014,0.213,15.54,0.226807,3,3,15,0,12,10,240807.208333333,0.002469417
"1","G4-08",2014,0.254,9.25,0.293457,2.2,0,13,0.00096,8,13,250727.041666667,0.001550123
"0","G134-12",2014,0.224,1.149,0.157578,2.5,0,13,0.00079,65,0,NA,0.000426251
"1","G10-10",2014,0.258,4,0.279175,3.3,4,47,0,16,44,233516.125,0.000497851
"1","G23-11",2014,0.199,38.367,0.262024,2.9,3,4,0.01519,3,5,258183.916666667,9.91e-06
"1","G14-13",2014,0.212,29.26,0.152161,3.2,3,2,0.01832,1,12,242100.916666667,1.45e-06
"1","G21-05",2014,0.32,4.033,0.23877,2.2,0,10,0.00058,1,3,255224.791666667,0.003476964
"1","G15-11",2014,0.225,2.7,0.274902,2.9,1,47,0.00092,16,44,233516.125,0.001001813
